iter	Passed	Remaining
0	15	2985
1	24	2460
2	36	2402
3	47	2320
4	58	2268
5	69	2244
6	78	2169
7	86	2086
8	93	1993
9	99	1895
10	105	1809
11	121	1900
12	128	1852
13	138	1840
14	146	1804
15	155	1788
16	163	1761
17	170	1723
18	175	1672
19	179	1613
20	183	1566
21	187	1517
22	191	1476
23	198	1458
24	203	1426
25	208	1397
26	216	1387
27	222	1365
28	228	1348
29	233	1322
30	238	1302
31	274	1439
32	287	1457
33	297	1453
34	316	1494
35	325	1483
36	339	1496
37	363	1549
38	381	1576
39	389	1557
40	395	1533
41	401	1509
42	413	1509
43	427	1514
44	433	1491
45	439	1472
46	447	1455
47	452	1431
48	457	1409
49	463	1389
50	468	1367
51	476	1357
52	481	1336
53	487	1318
54	496	1309
55	504	1297
56	510	1281
57	515	1262
58	520	1245
59	532	1243
60	539	1229
61	545	1215
62	553	1203
63	560	1191
64	566	1176
65	575	1168
66	582	1156
67	586	1138
68	592	1124
69	597	1109
70	603	1096
71	609	1083
72	617	1073
73	625	1064
74	633	1055
75	642	1048
76	648	1036
77	658	1030
78	666	1020
79	675	1013
80	680	999
81	684	985
82	693	977
83	699	966
84	712	963
85	722	958
86	732	951
87	740	942
88	746	931
89	750	917
90	757	906
91	765	898
92	775	891
93	781	881
94	790	874
95	795	862
96	800	849
97	807	840
98	812	828
99	817	817
100	825	809
101	830	798
102	843	794
103	857	791
104	863	781
105	870	772
106	876	761
107	882	751
108	887	740
109	892	730
110	899	721
111	904	710
112	910	701
113	917	692
114	925	684
115	930	673
116	935	663
117	939	652
118	943	642
119	951	634
120	957	624
121	963	615
122	974	609
123	981	601
124	986	591
125	992	582
126	997	573
127	1002	563
128	1007	554
129	1017	548
130	1022	538
131	1027	529
132	1033	520
133	1038	511
134	1042	502
135	1050	494
136	1054	485
137	1059	476
138	1065	467
139	1069	458
140	1074	449
141	1079	440
142	1083	431
143	1087	422
144	1091	414
145	1095	405
146	1099	396
147	1103	387
148	1107	379
149	1112	370
150	1116	362
151	1120	353
152	1125	345
153	1131	338
154	1136	329
155	1141	321
156	1146	313
157	1150	305
158	1155	297
159	1161	290
160	1165	282
161	1170	274
162	1178	267
163	1189	261
164	1205	255
165	1215	248
166	1226	242
167	1232	234
168	1238	227
169	1245	219
170	1252	212
171	1256	204
172	1263	197
173	1269	189
174	1277	182
175	1284	175
176	1289	167
177	1295	160
178	1304	153
179	1311	145
180	1319	138
181	1328	131
182	1335	124
183	1341	116
184	1351	109
185	1359	102
186	1370	95
187	1379	88
188	1385	80
189	1394	73
190	1401	66
191	1408	58
192	1412	51
193	1418	43
194	1427	36
195	1432	29
196	1438	21
197	1444	14
198	1450	7
199	1454	0
